"id","Protein.Name","Accession.Number","Molecular.Weight","Identified.Peptide.Count","Protein.Group.Score","Quantitative.Value","Kinter_120720_DIA_Pool_1.mzML","Kinter_120720_DIA_Pool_2.mzML","Kinter_120720_DIA_Pool_3.mzML","Kinter_120720_DIA_Sample_01_Q11_1D.mzML","Kinter_120720_DIA_Sample_02_Q11_2D.mzML","Kinter_120720_DIA_Sample_03_Q11_3D.mzML","Kinter_120720_DIA_Sample_04_Q11_3D_20210220114346.mzML","Kinter_120720_DIA_Sample_05_Q12_1D.mzML","Kinter_120720_DIA_Sample_06_Q12_2D.mzML","Kinter_120720_DIA_Sample_07_Q12_3D.mzML","Kinter_120720_DIA_Sample_08_Q12_3D_20210220125525.mzML","Kinter_120720_DIA_Sample_09_Q13_1D.mzML","Kinter_120720_DIA_Sample_10_Q13_2D.mzML","Kinter_120720_DIA_Sample_11_Q13_3D.mzML","Kinter_120720_DIA_Sample_12_Q13_3D_20210220140656.mzML","Kinter_120720_DIA_Sample_14_Q14_1D.mzML","Kinter_120720_DIA_Sample_15_Q14_2D.mzML","Kinter_120720_DIA_Sample_16_Q14_3D.mzML","Kinter_120720_DIA_Sample_17_Q15_1D.mzML","Kinter_120720_DIA_Sample_18_Q15_2D.mzML","Kinter_120720_DIA_Sample_19_Q15_3D.mzML","Kinter_120720_DIA_Sample_20_R71_1D.mzML","Kinter_120720_DIA_Sample_21_R71_2D.mzML","Kinter_120720_DIA_Sample_22_R71_3D.mzML","Kinter_120720_DIA_Sample_23_R72_1D.mzML","Kinter_120720_DIA_Sample_24_R72_2D.mzML","Kinter_120720_DIA_Sample_25_R72_3D.mzML","Kinter_120720_DIA_Sample_26_R73_1D.mzML","Kinter_120720_DIA_Sample_27_R73_2D.mzML","Kinter_120720_DIA_Sample_28_R73_3D.mzML","Kinter_120720_DIA_Sample_29_R74_1D.mzML","Kinter_120720_DIA_Sample_30_R74_2D.mzML","Kinter_120720_DIA_Sample_31_R74_3D.mzML","Kinter_120720_DIA_Sample_32_R75_1D.mzML","Kinter_120720_DIA_Sample_33_R75_2D.mzML","Kinter_120720_DIA_Sample_34_R75_3D.mzML"
"2470","Group of sp|P27048|RSMB_MOUSE Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus OX=10090 GN=Snrpb PE=1 SV=1","sp|P27048|RSMB_MOUSE (+1)","0",2,0.99522604,0,727213.5,763905.2,607296.8,1552980,1012789,404104.7,1077753,982288.4,963157.7,299742.3,469160.4,980745.1,1102525,404898.8,476330,974191,900293,363244.7,1021740,921718.2,556298.5,855766.7,820007.6,483125.7,880894.5,656427.6,423487.5,729561.5,708540.5,461628.7,700124.5,721713.1,544364.6,752854.2,799110.7,571047.1
"2470.1","sp|P27048|RSMB_MOUSE Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus OX=10090 GN=Snrpb PE=1 SV=1","sp|P27048|RSMB_MOUSE","24 kDa",2,0.99522604,0,727213.5,763905.2,607296.8,1552980,1012789,404104.7,1077753,982288.4,963157.7,299742.3,469160.4,980745.1,1102525,404898.8,476330,974191,900293,363244.7,1021740,921718.2,556298.5,855766.7,820007.6,483125.7,880894.5,656427.6,423487.5,729561.5,708540.5,461628.7,700124.5,721713.1,544364.6,752854.2,799110.7,571047.1
"2470.2","sp|P63163|RSMN_MOUSE Small nuclear ribonucleoprotein-associated protein N OS=Mus musculus OX=10090 GN=Snrpn PE=1 SV=1","sp|P63163|RSMN_MOUSE","25 kDa",2,0.99522604,0,727213.5,763905.2,607296.8,1552980,1012789,404104.7,1077753,982288.4,963157.7,299742.3,469160.4,980745.1,1102525,404898.8,476330,974191,900293,363244.7,1021740,921718.2,556298.5,855766.7,820007.6,483125.7,880894.5,656427.6,423487.5,729561.5,708540.5,461628.7,700124.5,721713.1,544364.6,752854.2,799110.7,571047.1
"2471","sp|Q9ES74|NEK7_MOUSE Serine/threonine-protein kinase Nek7 OS=Mus musculus OX=10090 GN=Nek7 PE=1 SV=1","sp|Q9ES74|NEK7_MOUSE","35 kDa",2,0.99522112,0,655368.3,791858,635443.9,1067997,1281290,1328693,1085942,526419.6,468964.2,464842.6,134217,568739.4,104928.3,640150.4,434397.7,533886.5,589156.6,585823.1,570770.6,704417.8,553034.3,595583.1,749086.9,554705.4,1070023,233522.2,479758.5,457681.1,320275.8,629923.5,715363.9,571850.2,491970.8,758497,517440,169456
"2472","tr|Q8C635|Q8C635_MOUSE Glycerol kinase-like 1 OS=Mus musculus OX=10090 GN=Gykl1 PE=1 SV=1","tr|Q8C635|Q8C635_MOUSE","60 kDa",5,0.99520986,0,45389.08,64905.87,15736.22,181472.6,123352.6,18734.99,19661.05,89850.26,47485.75,0,8751.49,98502.94,67143.72,13649.45,14615.67,50647.32,63905.42,7570.76,42948.92,48494.21,7913.97,144266.5,110891.9,14841.48,100989.8,132472.8,40209.98,58512.82,44679.36,0,31564.29,52305.15,6661.35,70526.98,57282.8,8567.69
"2473","sp|Q80UP8|S20A2_MOUSE Sodium-dependent phosphate transporter 2 OS=Mus musculus OX=10090 GN=Slc20a2 PE=1 SV=2","sp|Q80UP8|S20A2_MOUSE","71 kDa",2,0.99520468,0,7616348,579478.3,2894653,735232.3,961683.6,497345.4,450337.1,1041978,418923.5,850909.7,848250.3,19745440,15398590,774875.9,10213730,446838.2,770517.7,818417.4,2845214,377954.3,535901.5,2302331,534289.4,524094.9,587946.9,774024.7,381892.5,252841.4,648501,503938.8,520057.8,552849.1,511623.5,393897.4,765972.1,960375.2
"2474","sp|Q91V16|ETFR1_MOUSE Electron transfer flavoprotein regulatory factor 1 OS=Mus musculus OX=10090 GN=Etfrf1 PE=1 SV=1","sp|Q91V16|ETFR1_MOUSE","10 kDa",3,0.99516915,0,7869126,7664071,4479538,12955760,9709171,3677117,12931280,7795103,7889326,2128546,4067252,9000419,7949618,3088920,4562051,7778440,7229559,2905134,8113964,7192932,3908508,8980943,8636940,5647743,7964943,7201276,4861651,6736650,5710602,3685957,6111289,5923582,4707699,7363043,7169569,5484809
"2475","sp|Q569Z5|DDX46_MOUSE Probable ATP-dependent RNA helicase DDX46 OS=Mus musculus OX=10090 GN=Ddx46 PE=1 SV=2","sp|Q569Z5|DDX46_MOUSE","117 kDa",2,0.99516652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2476","sp|P22892|AP1G1_MOUSE AP-1 complex subunit gamma-1 OS=Mus musculus OX=10090 GN=Ap1g1 PE=1 SV=3","sp|P22892|AP1G1_MOUSE","91 kDa",4,0.99515997,0,2840073,3004896,2103011,7034292,6514726,5029742,6993316,3804516,3465408,899192.5,1905259,3275761,3128269,1201933,1543325,3002373,3192377,1388099,3551589,2929275,1869484,3482481,3708523,2205986,3352566,3463810,2285758,3398817,3088126,2094416,3194133,2567884,2030165,3690525,2843440,2263054
"2477","sp|Q8BI84|TGO1_MOUSE Transport and Golgi organization protein 1 homolog OS=Mus musculus OX=10090 GN=Mia3 PE=1 SV=2","sp|Q8BI84|TGO1_MOUSE","214 kDa",4,0.99513705,0,33235.64,28953.62,0,42690.57,48971.6,137359.6,232169.7,51122.04,52435.51,42407.52,126360.3,19652.2,54595.2,56505.53,36087.15,19867.46,63159.67,39927.98,68450.14,36571.14,37043.68,54113.48,56312.35,49966.61,29618.06,15099.21,11441.74,46505.96,110320.7,55745.35,80396.6,37711.86,94679.9,43380.05,1936.45,34989.88
"2478","sp|Q9EQH2|ERAP1_MOUSE Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2","sp|Q9EQH2|ERAP1_MOUSE","107 kDa",4,0.99513017,0,760212,460143.5,565790.9,1480529,493837.9,570805.7,699574.3,899400.8,624544.3,296484.2,271743.3,552449.3,364629.6,208835,274120.8,703172.1,532340,259505.7,939800.8,463967.1,245902.2,746494.1,742928.3,316210.8,625623.8,286748,307338.9,419900.6,216883.2,256257.2,679040,468461.4,218612,950929.8,360532.9,296652.2
"2479","sp|P61014|PPLA_MOUSE Cardiac phospholamban OS=Mus musculus OX=10090 GN=Pln PE=1 SV=1","sp|P61014|PPLA_MOUSE","6 kDa",2,0.99512783,0,49877600,48375680,46401910,68300070,64105640,70786790,88810220,46546210,35516820,18602130,25116310,37933830,32605180,25282950,29512990,57177920,46932220,31942630,48155380,52144310,41554270,60638670,67131560,50023700,74993130,76546270,67124040,80298240,78764640,72429300,45083090,35221610,38629650,83155850,72321870,76400590
"2480","sp|Q9D7M1|GID8_MOUSE Glucose-induced degradation protein 8 homolog OS=Mus musculus OX=10090 GN=Gid8 PE=1 SV=1","sp|Q9D7M1|GID8_MOUSE","27 kDa",2,0.99509107,0,195953.4,66763,141720.1,337404.3,275391.8,110501.5,248459.2,261313.3,231304.4,61911.85,284314,258009,314023.1,221538.1,120490.9,158625,259561.8,380944,270048.2,201401.1,223310.4,201660.2,296243.7,117848.1,160070.9,166415.3,65330.99,119521.5,64251.57,25513.76,265156.3,57115.55,122911.8,138788.8,124463.7,187322
"2481","sp|P50431|GLYC_MOUSE Serine hydroxymethyltransferase, cytosolic OS=Mus musculus OX=10090 GN=Shmt1 PE=1 SV=3","sp|P50431|GLYC_MOUSE","53 kDa",8,0.99508923,0,4341979,4401580,3430323,7948492,7019433,5588692,8203471,6310553,6502549,2081174,3626195,5466154,4832668,2148207,2923376,5701994,6849593,3335698,5568785,5632546,3296084,2476446,2898456,2063703,3599131,4065689,2602039,3907032,3431676,1469090,3821278,2776518,2008486,3247524,3058688,2364066
"2482","sp|Q3V132|ADT4_MOUSE ADP/ATP translocase 4 OS=Mus musculus OX=10090 GN=Slc25a31 PE=1 SV=1","sp|Q3V132|ADT4_MOUSE","35 kDa",3,0.99507163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2483","sp|Q9Z2C5|MTM1_MOUSE Myotubularin OS=Mus musculus OX=10090 GN=Mtm1 PE=1 SV=2","sp|Q9Z2C5|MTM1_MOUSE","70 kDa",4,0.99506854,0,8575.1,0,8555.23,8400.9,45249.96,0,86924.22,22722.63,46129.48,20273.41,74919.96,78460.22,59973.69,10377.96,47458.28,51650.46,58719.73,54158.12,50981.79,17592.03,32664.34,29631.86,91103.01,59547.79,18906.26,83762.1,45911.2,18137.84,0,40929.26,67862.48,83650.43,82979.18,98439.26,63003.97,46729.74
"2484","sp|Q61655|DD19A_MOUSE ATP-dependent RNA helicase DDX19A OS=Mus musculus OX=10090 GN=Ddx19a PE=1 SV=2","sp|Q61655|DD19A_MOUSE","54 kDa",11,0.99506516,0,12913840,4961406,13923170,0,8064033,2845158,2204634,13439940,0,16340950,19336230,8318151,9054915,2249204,465389.1,1865093,9373379,5345910,15525450,10018000,5455362,8472795,9551625,2833884,20786500,17192130,12557730,29365980,23759450,20678110,26094110,16350660,24640840,23688490,19051100,18332200
"2485","sp|P61022|CHP1_MOUSE Calcineurin B homologous protein 1 OS=Mus musculus OX=10090 GN=Chp1 PE=1 SV=2","sp|P61022|CHP1_MOUSE","22 kDa",2,0.99500394,0,257528.5,443335.3,151135.9,249911.2,103461.9,594477.1,951689.2,269685.2,145168.2,415990.5,635938.8,260413.6,120287.8,745796.9,217930.9,241737.3,170301.4,265474.4,42634.5,93397.45,462360.2,72162.51,286949.3,1355282,141522.5,158261.8,243416.6,235914.7,260341,314998.6,238294.1,540665,432448.5,412258,382017.9,103059.5
"2486","sp|O70456|1433S_MOUSE 14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2","sp|O70456|1433S_MOUSE","28 kDa",4,0.99497784,0,37850710,49887400,50419620,59600570,55305310,63189150,63584660,48492400,48971220,37547390,39172030,46122850,43791740,44152340,47520950,42569440,46855090,44183960,40642340,46378380,46805530,43029770,15097550,47235890,44655470,42484600,50306090,30839620,40521100,40994780,36046560,42185530,39874100,29795600,47946410,46506780
"2487","sp|Q5SGK3|AOXB_MOUSE Aldehyde oxidase 2 OS=Mus musculus OX=10090 GN=Aox2 PE=1 SV=2","sp|Q5SGK3|AOXB_MOUSE","148 kDa",2,0.99496237,0,98612.35,90737.55,100380.8,463580.6,293028.8,150390.6,379802.6,233958.2,191368.9,83912.41,106908.3,291476.4,119155.7,144815.6,195274.7,85923.43,14374.85,245998.3,53116.65,189383.2,278677.4,197529.7,257260,440867,111641.4,168551.9,341424.5,108796.6,144475.2,159541.9,168187.9,24331.32,250911.7,126730.3,54903.76,261218.6
"2488","DECOY_sp|Q91Z83|MYH7_MOUSE","DECOY_sp|Q91Z83|MYH7_MOUSE","0",3,0.99494994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2489","sp|O55003|BNIP3_MOUSE BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 OS=Mus musculus OX=10090 GN=Bnip3 PE=1 SV=1","sp|O55003|BNIP3_MOUSE","21 kDa",3,0.99494555,0,1090165,1103559,1577770,1521206,1429290,1936818,2202568,1004739,878635.1,798595,961355.3,999660.8,664810.1,787751.9,1032164,1128700,1663286,1330300,839120.5,1457886,1258222,1188785,905832.6,1223253,628845.5,659251,647691.2,770330,847798.7,650783.5,1429759,1299033,1590418,558804.8,1165286,976656.4
"2490","sp|Q5BKP2|UBP13_MOUSE Ubiquitin carboxyl-terminal hydrolase 13 OS=Mus musculus OX=10090 GN=Usp13 PE=1 SV=1","sp|Q5BKP2|UBP13_MOUSE","97 kDa",3,0.99491691,0,215516.9,87722.2,53143.14,103357.5,45964.56,22519.84,23566.05,147206.1,154262.7,25830.75,43503.06,75522.78,89631.52,31629.24,100679.9,114306.7,102449.4,52330.77,128533.5,72398.61,36466.41,147152.3,153235.4,73254.9,157055.1,119460.2,27998.39,88889.63,154160.6,56802.61,154333,146969,81907,101317.3,67912.42,39159.13
"2491","sp|Q91YE6|IPO9_MOUSE Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3","sp|Q91YE6|IPO9_MOUSE","116 kDa",4,0.99491019,0,210017.6,225734.3,124240.7,208200.6,136640.4,392829.8,191399.4,147619.2,176976,295828.7,154496,240417.3,233360.4,108929.3,285650.4,246680.7,193919.9,202335.8,283755.8,175010.2,242540.2,283527.2,92380.03,247261.5,270141.6,224007.3,129198.5,152409.5,212676.6,288762.5,121576.7,182371,168488.8,128708.2,192894.1,169713.7
"2492","Group of sp|Q8C0T1|FM1AB_MOUSE Protein fem-1 homolog A-B OS=Mus musculus OX=10090 GN=Fem1ab PE=2 SV=1","sp|Q8C0T1|FM1AB_MOUSE (+1)","0",2,0.99489411,0,333801.3,273248.5,182696.7,442932.5,598532.4,179416.7,199854.8,1210176,304072.7,25658.89,15444.53,491757.5,59376.93,42600.86,295695.8,140238.7,218221.8,68491.26,397164.1,368358.2,48311.56,81042.51,25865.03,138552.4,314695.5,372308.4,16567.11,170864.3,261636.8,0,309843.8,0,0,202505.8,179714.6,13185.53
"2492.1","sp|Q8C0T1|FM1AB_MOUSE Protein fem-1 homolog A-B OS=Mus musculus OX=10090 GN=Fem1ab PE=2 SV=1","sp|Q8C0T1|FM1AB_MOUSE","72 kDa",2,0.99489411,0,333801.3,273248.5,182696.7,442932.5,598532.4,179416.7,199854.8,1210176,304072.7,25658.89,15444.53,491757.5,59376.93,42600.86,295695.8,140238.7,218221.8,68491.26,397164.1,368358.2,48311.56,81042.51,25865.03,138552.4,314695.5,372308.4,16567.11,170864.3,261636.8,0,309843.8,0,0,202505.8,179714.6,13185.53
"2492.2","sp|Q9Z2G1|FM1AA_MOUSE Protein fem-1 homolog A-A OS=Mus musculus OX=10090 GN=Fem1aa PE=2 SV=1","sp|Q9Z2G1|FM1AA_MOUSE","72 kDa",2,0.99489411,0,333801.3,273248.5,182696.7,442932.5,598532.4,179416.7,199854.8,1210176,304072.7,25658.89,15444.53,491757.5,59376.93,42600.86,295695.8,140238.7,218221.8,68491.26,397164.1,368358.2,48311.56,81042.51,25865.03,138552.4,314695.5,372308.4,16567.11,170864.3,261636.8,0,309843.8,0,0,202505.8,179714.6,13185.53
"2493","sp|P46467|VPS4B_MOUSE Vacuolar protein sorting-associated protein 4B OS=Mus musculus OX=10090 GN=Vps4b PE=1 SV=2","sp|P46467|VPS4B_MOUSE","49 kDa",4,0.9948781,0,399867.7,741673.1,207400.9,1112725,814672.6,301867.9,836403.3,356750.3,688141.8,335200.6,440985.1,991103.5,574124.4,512694.2,606169.7,707450.7,442809,620325.6,577184.1,491511.4,227723.6,500112.4,1058733,483793.4,415199.3,521176.4,335175.6,435547.2,176237.8,317978.7,517998.8,181368.8,254617.7,331002.8,492574,281772.3
"2494","sp|O89084|PDE4A_MOUSE cAMP-specific 3',5'-cyclic phosphodiesterase 4A OS=Mus musculus OX=10090 GN=Pde4a PE=1 SV=2","sp|O89084|PDE4A_MOUSE","94 kDa",5,0.99484456,0,432013.8,424733.1,383101.2,573130.6,1032773,400983.1,703215.3,551215.7,580131.5,264502.7,282458.7,653496.5,829349.2,428738.6,279280.8,574268.2,469575.3,361120.8,402928.9,296737.6,264238.5,572323.8,665866.5,578669,244988,441169.7,329226.4,193406.2,493401.6,292021.9,552711.4,223157.9,217460.5,199842,362940.1,336029.3
"2495","sp|P29341|PABP1_MOUSE Polyadenylate-binding protein 1 OS=Mus musculus OX=10090 GN=Pabpc1 PE=1 SV=2","sp|P29341|PABP1_MOUSE","71 kDa",9,0.99483833,0,9245095,8070747,7278277,12594810,9011662,6277465,11655170,10598260,8720249,3633069,6667941,10710810,9365005,5281083,6155276,9601232,7971224,4954993,10133330,8267199,6309652,9993985,9932779,7432187,9858333,7538021,6120502,7773633,6397169,4965286,7770228,6263785,5336626,8666025,8390191,5559877
"2496","sp|Q8CC27|CACB2_MOUSE Voltage-dependent L-type calcium channel subunit beta-2 OS=Mus musculus OX=10090 GN=Cacnb2 PE=1 SV=1","sp|Q8CC27|CACB2_MOUSE","73 kDa",3,0.99483433,0,24724.2,48113.58,98074.3,332913,209729.3,51151.06,117569.6,34707.31,44600.3,11634.87,51449.36,43058.65,127750.6,51882.7,41675.62,221190.3,104750.9,24214.22,68982.12,158285.6,55752.88,106136.3,113739.3,76700.56,99214.33,92884.9,40525.33,98505.65,105906.6,138277.3,129134.1,69006.44,59268.94,110361.4,117054.9,124948
"2497","DECOY_sp|P47754|CAZA2_MOUSE","DECOY_sp|P47754|CAZA2_MOUSE","0",2,0.99482939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2498","sp|Q80SU7|GVIN1_MOUSE Interferon-induced very large GTPase 1 OS=Mus musculus OX=10090 GN=Gvin1 PE=1 SV=1","sp|Q80SU7|GVIN1_MOUSE","281 kDa",3,0.99481102,0,877929.2,730190.6,640517.4,1194861,1197416,800594.9,1252397,1140061,931615.8,408956.1,812779.4,535681.5,705452.6,192635.8,530106.7,340256.2,622846,133761.9,730504.1,22334.76,302604.2,1566246,1040240,877543.7,657403.5,404160.2,469137.8,474720.9,658005,219930.8,408128.5,392400.4,316896.1,590608.1,285722.2,200770.8
"2499","sp|Q91VH6|MEMO1_MOUSE Protein MEMO1 OS=Mus musculus OX=10090 GN=Memo1 PE=1 SV=1","sp|Q91VH6|MEMO1_MOUSE","34 kDa",3,0.99480185,0,2410030,2316953,1050868,7424431,4325520,1376877,8387336,3141241,2568285,333241.8,860997.4,3065567,2708972,501572.9,1000556,3075114,2804001,855741.4,3298911,2519815,1025684,2627849,2262110,768337.3,2415206,1950011,874001.4,2167311,1706989,983159.1,1920787,1755235,976496.6,2042126,2233891,1081193
"2500","sp|Q921M3|SF3B3_MOUSE Splicing factor 3B subunit 3 OS=Mus musculus OX=10090 GN=Sf3b3 PE=1 SV=1","sp|Q921M3|SF3B3_MOUSE","136 kDa",3,0.99478929,0,1431229,4282583,1601189,140655.2,1645237,745495.6,361277.4,4142717,4507378,2348892,4547109,2046997,1592627,347178.7,573741.3,2953963,776623.7,892533.4,3559877,624862.5,3952574,375255,1322199,876745.4,4528883,3308157,348812.5,6022622,1797626,1881318,4789001,6504834,2850896,4570424,4758146,3319195
"2501","sp|Q921C5|BICD2_MOUSE Protein bicaudal D homolog 2 OS=Mus musculus OX=10090 GN=Bicd2 PE=1 SV=1","sp|Q921C5|BICD2_MOUSE","93 kDa",6,0.99477123,0,1918210,2487759,1970291,2040351,2696234,2278011,2005727,1777284,1900501,1296463,1973786,2170996,2081777,1621223,1545934,1552728,2071869,1345356,1575176,1350012,1341410,1955807,2462142,2540653,1856465,2158771,1572178,1770341,1815017,1511500,1724031,2155301,1590404,1751840,2081359,1292234
"2502","sp|Q8R404|MIC13_MOUSE MICOS complex subunit MIC13 OS=Mus musculus OX=10090 GN=Micos13 PE=1 SV=1","sp|Q8R404|MIC13_MOUSE","13 kDa",3,0.99474636,0,10037740,8573891,5871212,18251480,12262770,6546412,18427230,9725377,8580219,2684592,5031653,11177920,9372144,4394476,6892254,10344390,9137870,5015134,11928140,8344944,5205125,14900120,12735870,8475995,9825483,8848281,5738106,7524179,5926523,5040677,8101288,6284237,5649058,9478079,9583686,6458761
"2503","sp|Q3UH66|WNK2_MOUSE Serine/threonine-protein kinase WNK2 OS=Mus musculus OX=10090 GN=Wnk2 PE=1 SV=2","sp|Q3UH66|WNK2_MOUSE","228 kDa",2,0.99474498,0,340761.2,290392.9,78275.31,349608.5,598696.1,172715.3,367437.6,340601.9,393165.1,107636.3,235762.2,381527.9,490677.8,277628.6,228249.3,261436.7,427347.5,172326.6,420137.7,415489.7,216116.6,263338.9,439076.3,38883.48,286552,319757.9,104687.3,160044.5,223178,184635.2,237796.8,178553,21519.06,232362,174346.3,103720.1
"2504","Group of DECOY_sp|Q32MW3|ACO10_MOUSE","DECOY_sp|Q32MW3|ACO10_MOUSE (+1)","0",2,0.99473343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2504.1","DECOY_sp|Q32MW3|ACO10_MOUSE","DECOY_sp|Q32MW3|ACO10_MOUSE","0",2,0.99473343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2504.2","DECOY_sp|Q9R0X4|ACOT9_MOUSE","DECOY_sp|Q9R0X4|ACOT9_MOUSE","0",2,0.99473343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2505","tr|A2AS37|A2AS37_MOUSE Expressed sequence AI182371 OS=Mus musculus OX=10090 GN=AI182371 PE=1 SV=2","tr|A2AS37|A2AS37_MOUSE","40 kDa",3,0.99471252,0,39362.81,104937.2,52207.21,195833.4,6990.04,35560.53,37105.51,79651.96,83447.61,18207.27,28926.26,168888.7,99887.63,57264.18,80331.66,26703.4,136657.6,31780.94,125652.1,167448.1,61939.86,64062.93,104556.5,65289.91,138252.1,110340.4,92735.61,248667.7,180382,66391.8,66767.11,177738.1,107528.1,164752.9,136116.5,141255.5
"2506","sp|Q9Z1P7|KANK3_MOUSE KN motif and ankyrin repeat domain-containing protein 3 OS=Mus musculus OX=10090 GN=Kank3 PE=1 SV=1","sp|Q9Z1P7|KANK3_MOUSE","84 kDa",2,0.99470817,0,0,36240.69,37746.5,184253.3,63383.36,68522.03,97801.06,46151.06,0,25126.15,22839.44,47752.65,90507.6,11926.63,0,52040.85,46404.46,76518.79,0,43785.44,6980.5,10872.33,75099.58,1654.29,35350.39,0,0,14337.63,7093.19,12547.52,16934.25,15275.33,0,6954.82,17345.15,16165.11
"2507","sp|Q9CZP7|CD37L_MOUSE Hsp90 co-chaperone Cdc37-like 1 OS=Mus musculus OX=10090 GN=Cdc37l1 PE=1 SV=1","sp|Q9CZP7|CD37L_MOUSE","38 kDa",3,0.99470076,0,5267058,4999680,5433418,1128606,8176045,4058148,7222767,7264330,95695.44,4191816,4763588,8000492,220580.4,5756526,6052838,5796171,5956721,5854238,6546397,6718664,7300968,6104750,344102.5,144646.5,5144021,5884281,76939.59,5190806,6253821,5846761,6306023,4912853,6101601,5733018,4761810,6031622
"2508","sp|Q64374|RGN_MOUSE Regucalcin OS=Mus musculus OX=10090 GN=Rgn PE=1 SV=1","sp|Q64374|RGN_MOUSE","33 kDa",2,0.99466763,0,25862.65,11678.01,0,12740.14,0,8321.43,16022.98,4723.49,0,0,10087.6,29476.04,0,0,0,4576.93,0,0,10696.92,0,0,97072.84,58057.31,72962.8,87844.12,63670.8,37840.48,0,33844.57,15401.33,72748.9,12098.43,0,55437.97,54867.48,29247.41
"2509","sp|Q5SSK3|TEFM_MOUSE Transcription elongation factor, mitochondrial OS=Mus musculus OX=10090 GN=Tefm PE=1 SV=1","sp|Q5SSK3|TEFM_MOUSE","42 kDa",4,0.99466553,0,435170.1,604877.9,499778.6,628534.1,696689.1,723134.5,1493940,237546.8,289651.3,59072.74,152191.4,475144.8,106497.2,225265.4,220902.5,437728.5,189780.5,137286,507697.5,134341.3,438342.7,241860.2,169503.2,449566.9,431150.9,367527.2,507291.9,239168.6,402284,93551.29,286363.6,364833.1,380452,120056.9,489267.2,566486.5
"2510","sp|Q61268|APOC4_MOUSE Apolipoprotein C-IV OS=Mus musculus OX=10090 GN=Apoc4 PE=1 SV=1","sp|Q61268|APOC4_MOUSE","14 kDa",2,0.9946584,0,1580185,1549254,1021837,3988579,2892159,1948233,1634490,137653.7,158131,100585,86989.81,1605237,1754231,998435.5,1382478,1277919,1607648,947266.9,1287071,1645271,1122270,1189732,1160927,900247.5,1682951,1756305,1776642,1357976,1428893,1650522,2434885,2594877,1860812,1343413,980780.7,1706187
"2511","sp|B2RRE7|OTUD4_MOUSE OTU domain-containing protein 4 OS=Mus musculus OX=10090 GN=Otud4 PE=1 SV=1","sp|B2RRE7|OTUD4_MOUSE","123 kDa",2,0.99465721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2512","sp|P97930|KTHY_MOUSE Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk PE=1 SV=2","sp|P97930|KTHY_MOUSE","24 kDa",4,0.99463949,0,1727106,1790192,1323456,1884589,1703532,718433.6,1672348,1636174,1676050,588804.8,1087615,1791647,1623209,823456.8,1243842,1866144,1185959,916464.7,1854375,1330991,919793.4,1936961,1534403,1174204,1732496,1616885,1175088,1372521,1356367,916130.7,1488246,1207077,1030067,1882742,1398166,1097578
"2513","sp|P12242|UCP1_MOUSE Mitochondrial brown fat uncoupling protein 1 OS=Mus musculus OX=10090 GN=Ucp1 PE=1 SV=2","sp|P12242|UCP1_MOUSE","33 kDa",2,0.99461414,0,745486.6,497697.2,694291.4,186438.6,112710.2,39741.57,162370.4,201205.7,201259.7,29788.11,134699.5,965286.7,1034673,547891.6,743319.9,140470.1,288474.7,28220.32,755677.4,994388.8,718417.9,182234.3,341002.3,314704.8,1057153,797225.7,656271.2,79181.11,70056.2,71447.14,2127819,2270931,2318198,20796.94,66424.83,118337.4
